// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Tuula, 31_720
Anne, 30_649
Ritva, 30_364
Päivi, 30_312
Anna, 30_220
Leena, 29_421
Pirjo, 28_824
Sari, 27_901
Minna, 27_850
Marja, 27_473
Riitta, 26_038
Tiina, 26_025
Tarja, 25_087
Pirkko, 24_554
Laura, 23_609
Seija, 22_699
Eeva, 22_687
Aino, 22_559
Liisa, 22_551
Anja, 22_187
Raija, 22_181
Sirpa, 21_833
Jaana, 21_603
Satu, 21_595
Heidi, 21_406
Hanna, 21_373
Eila, 21_352
Sanna, 21_136
Eija, 20_564
Maria, 20_271
Merja, 19_930
Kirsi, 19_515
Johanna, 19_512
Arja, 19_181
Maija, 18_850
Paula, 18_197
Ulla, 17_963
Sirkka, 17_661
Jenni, 16_868
Elina, 16_255
Katja, 15_837
Mari, 15_159
Heli, 15_129
Raili, 15_054
Anni, 14_960
Terttu, 14_956
Nina, 14_894
Hilkka, 14_512
Kirsti, 14_175
Mirja, 13_999
Emma, 13_834
Helena, 12_943
Kaija, 12_741
Anu, 12_632
Tuija, 12_481
Niina, 11_732
Sara, 11_651
Kaisa, 11_408
Emilia, 11_369
Suvi, 11_236
Irma, 11_170
Pia, 11_133
Saara, 11_083
Aila, 11_048
Tanja, 10_974
Ella, 10_837
Leila, 10_818
Jenna, 10_735
Katri, 10_575
Maarit, 10_483
Kati, 10_447
Henna, 10_394
Sofia, 10_372
Marjo, 10_365
Lea, 10_358
Noora, 10_064
Veera, 10_052
Irja, 10_034
Susanna, 9_771
Riikka, 9_679
Marja-Leena, 9_565
Julia, 9_513
Kerttu, 9_510
Iida, 9_422
Outi, 9_318
Sinikka, 9_315
Mervi, 9_229
Taina, 9_219
Helmi, 8_897
Jonna, 8_851
Virpi, 8_834
Milla, 8_833
Emmi, 8_527
Miia, 8_413
Marja-Liisa, 8_397
Venla, 8_242
Sonja, 8_222
Tiia, 8_080
Marika, 7_752
Elli, 7_569
Siiri, 7_549
Lotta, 7_504
Terhi, 7_499
Elsa, 7_463
Sisko, 7_384
Sini, 7_308
Sanni, 7_304
Aune, 7_273
Annika, 7_163
Teija, 7_055
Vilma, 7_044
Mira, 7_028
Ida, 6_969
Maire, 6_794
Mia, 6_763
Anita, 6_686
Oona, 6_684
Essi, 6_475
Airi, 6_369
Nea, 6_333
Linda, 6_259
Piia, 6_242
Taru, 6_163
Aada, 6_090
Anneli, 6_042
Viivi, 6_042
Marita, 5_810
Anna-Liisa, 5_773
Petra, 5_721
Elisa, 5_486
Erja, 5_463
Roosa, 5_444
Salla, 5_386
Silja, 5_334
Vuokko, 5_328
Pinja, 5_254
Iina, 5_182
Helvi, 5_147
Aili, 4_956
Marjatta, 4_947
Krista, 4_866
Ronja, 4_853
Amanda, 4_788
Inka, 4_728
Riina, 4_700
Jenny, 4_629
Milja, 4_615
Marianne, 4_608
Marjut, 4_606
Toini, 4_601
Martta, 4_595
Enni, 4_556
Salme, 4_520
Lilja, 4_498
Eva, 4_365
Jasmin, 4_365
Soile, 4_342
Olivia, 4_303
Eveliina, 4_268
Elvi, 4_215
Iiris, 4_165
Ilona, 4_085
Maija-Liisa, 4_026
Kristiina, 4_022
Saana, 4_012
Anniina, 3_998
Asta, 3_976
Aira, 3_974
Katariina, 3_934
Hannele, 3_921
Reetta, 3_894
Auli, 3_825
Laila, 3_820
Ellen, 3_820
Sirkka-Liisa, 3_814
Meeri, 3_798
Eevi, 3_767
Nelli, 3_753
Saija, 3_747
Rauni, 3_724
Maiju, 3_629
Linnea, 3_603
Taimi, 3_576
Alisa, 3_556
Minttu, 3_501
Eira, 3_485
Pihla, 3_474
Heini, 3_455
Kaisu, 3_448
Jessica, 3_430
Armi, 3_411
Meri, 3_333
Tuuli, 3_308
Nella, 3_170
Erika, 3_160
Pauliina, 3_126
Matilda, 3_125
Camilla, 3_111
Rauha, 3_064
Kaarina, 2_989
Alina, 2_978
Sirkku, 2_948
Neea, 2_946
Mirva, 2_936
Sylvi, 2_926
Janina, 2_885
Carita, 2_876
Karoliina, 2_824
Oili, 2_808
Eeva-Liisa, 2_804
Maila, 2_723
Soili, 2_702
Anna-Maija, 2_696
Senja, 2_691
Jutta, 2_636
Hilla, 2_565
Lahja, 2_563
Margit, 2_561
Irene, 2_550
Olga, 2_532
Alli, 2_529
Elena, 2_524
Birgitta, 2_476
Minea, 2_442
Hilja, 2_431
Ada, 2_420
Irina, 2_404
Mila, 2_379
Tytti, 2_378
Peppi, 2_365
Vieno, 2_345
Alma, 2_334
Tea, 2_329
Netta, 2_318
Mirka, 2_255
Saimi, 2_247
Maritta, 2_242
Anne-Mari, 2_214
Ulla-Maija, 2_172
Kiia, 2_155
Tyyne, 2_142
Mona, 2_136
Helka, 2_128
Hilma, 2_123
Marina, 2_119
Annikki, 2_100
Saga, 2_073
