// All values are from https://www.avoindata.fi/data/fi/dataset/none "Sukunimitilasto 2018-03-05"
Korhonen, 22_583
Virtanen, 22_114
Mäkinen, 20_284
Nieminen, 20_110
Mäkelä, 19_035
Hämäläinen, 18_397
Laine, 17_990
Heikkinen, 17_430
Koskinen, 17_186
Järvinen, 16_187
Lehtonen, 16_043
Lehtinen, 15_008
Saarinen, 14_804
Salminen, 14_598
Heinonen, 14_407
Niemi, 14_290
Heikkilä, 14_164
Kinnunen, 13_918
Salonen, 13_798
Turunen, 13_309
Salo, 12_959
Laitinen, 12_723
Tuominen, 12_451
Rantanen, 12_407
Karjalainen, 12_345
Jokinen, 12_151
Mattila, 11_954
Savolainen, 11_128
Lahtinen, 11_069
Ahonen, 10_849
Ojala, 10_709
Leppänen, 10_681
Väisänen, 10_031
Hiltunen, 9_994
Kallio, 9_986
Miettinen, 9_976
Leinonen, 9_974
Pitkänen, 9_880
Aaltonen, 9_876
Manninen, 9_723
Hakala, 9_575
Koivisto, 9_575
Anttila, 9_574
Laaksonen, 9_214
Hirvonen, 9_067
Räsänen, 9_065
Lehto, 8_982
Laakso, 8_901
Toivonen, 8_814
Mustonen, 8_682
Rantala, 8_674
Aalto, 8_567
Nurmi, 8_415
Peltonen, 8_389
Niemelä, 8_311
Moilanen, 8_297
Seppälä, 8_192
Pulkkinen, 8_187
Hänninen, 8_148
Lappalainen, 7_973
Saari, 7_925
Partanen, 7_920
Kettunen, 7_915
Kauppinen, 7_742
Kemppainen, 7_742
Koskela, 7_649
Seppänen, 7_638
Lahti, 7_626
Salmi, 7_577
Ahola, 7_558
Huttunen, 7_421
Ikonen, 7_320
Suominen, 7_320
Aho, 7_306
Kärkkäinen, 7_283
Pesonen, 7_209
Halonen, 7_140
Mikkonen, 7_043
Nyman, 7_029
Koponen, 7_016
Johansson, 7_010
Peltola, 6_946
Lindholm, 6_885
Oksanen, 6_883
Vainio, 6_857
Niskanen, 6_840
Heiskanen, 6_821
Mikkola, 6_715
Immonen, 6_617
Koski, 6_605
Honkanen, 6_598
Nurminen, 6_524
Vuorinen, 6_524
Harju, 6_447
Kokkonen, 6_390
Rissanen, 6_358
Määttä, 6_338
Karppinen, 6_264
Mäki, 6_221
Laukkanen, 6_098
Heino, 6_063
Rajala, 6_055
Juntunen, 6_052
Rautiainen, 5_980
Parviainen, 5_951
Jääskeläinen, 5_946
Kangas, 5_909
Keränen, 5_881
Hartikainen, 5_878
Paananen, 5_798
Karlsson, 5_745
Leino, 5_741
Mäenpää, 5_691
Martikainen, 5_633
Ruotsalainen, 5_632
Lindström, 5_629
Hakkarainen, 5_574
Hyvärinen, 5_537
Uusitalo, 5_497
Laurila, 5_480
Kokko, 5_472
Toivanen, 5_452
Tikkanen, 5_439
Viitanen, 5_409
Nevalainen, 5_400
Salmela, 5_272
Leskinen, 5_259
Nykänen, 5_237
Makkonen, 5_209
Häkkinen, 5_141
Holopainen, 5_125
Kuusisto, 5_098
Tamminen, 5_035
Hietala, 5_004
Eriksson, 4_997
Korpela, 4_977
Andersson, 4_976
Härkönen, 4_975
Ranta, 4_951
Kukkonen, 4_939
Hyvönen, 4_911
Jaakkola, 4_885
Karvonen, 4_878
Pasanen, 4_831
Jokela, 4_825
Karhu, 4_813
Tiainen, 4_774
Väänänen, 4_735
Kosonen, 4_708
Saarela, 4_695
Sillanpää, 4_629
Malinen, 4_604
Kujala, 4_572
Virta, 4_566
Rautio, 4_561
Lindroos, 4_551
Timonen, 4_525
Autio, 4_476
Lindqvist, 4_448
Kivelä, 4_442
Valtonen, 4_429
Hokkanen, 4_415
Kolehmainen, 4_412
Lampinen, 4_386
Räisänen, 4_375
Jussila, 4_352
Rinne, 4_337
Tolonen, 4_334
Nissinen, 4_291
Nousiainen, 4_243
Huhtala, 4_227
Eskelinen, 4_185
Vartiainen, 4_170
Koivula, 4_131
Laakkonen, 4_115
Asikainen, 4_099
Koistinen, 4_069
Lindberg, 4_053
Lepistö, 4_049
Kuusela, 4_026
