// All values are from https://www.avoindata.fi/data/fi/dataset/none "Etunimitilasto 2018-03-05"
Timo, 45_488
Juha, 45_357
Matti, 44_733
Kari, 41_265
Mikko, 39_067
Antti, 38_543
Jari, 38_346
Jukka, 34_655
Markku, 33_826
Mika, 33_798
Pekka, 33_386
Hannu, 30_807
Heikki, 30_198
Seppo, 29_090
Janne, 27_737
Ari, 27_417
Sami, 26_337
Ville, 25_792
Marko, 25_305
Petri, 24_310
Lauri, 23_636
Erkki, 23_217
Jani, 22_875
Pentti, 22_666
Jorma, 21_396
Teemu, 20_344
Harri, 20_271
Eero, 19_450
Raimo, 19_194
Jaakko, 18_944
Jarmo, 18_935
Risto, 18_825
Jussi, 18_187
Pasi, 18_184
Esa, 17_407
Pertti, 17_321
Juho, 17_261
Martti, 17_179
Jouni, 16_925
Niko, 16_856
Toni, 16_795
Reijo, 16_622
Arto, 16_571
Veikko, 16_281
Markus, 15_844
Jouko, 15_735
Vesa, 15_660
Tomi, 15_524
Tuomas, 15_382
Olli, 15_372
Esko, 15_289
Aleksi, 15_209
Kimmo, 14_919
Joni, 14_553
Tommi, 14_400
Tero, 14_010
Joonas, 13_119
Henri, 12_688
Eetu, 12_254
Kalle, 11_559
Ilkka, 11_522
Leo, 11_522
Paavo, 11_470
Jarkko, 11_424
Pauli, 11_163
Jesse, 10_993
Eino, 10_768
Tuomo, 10_765
Joona, 10_490
Tapio, 9_971
Jere, 9_848
Elias, 9_705
Veli, 9_691
Mikael, 9_555
Juuso, 9_522
Matias, 9_270
Onni, 9_234
Keijo, 9_218
Simo, 9_030
Jyrki, 8_859
Arttu, 8_842
Lasse, 8_720
Juhani, 8_311
Leevi, 8_267
Aki, 8_091
Toivo, 8_017
Mauri, 7_997
Kai, 7_951
Riku, 7_882
Väinö, 7_799
Joel, 7_642
Niklas, 7_639
Otto, 7_578
Kauko, 7_575
Miika, 7_436
Reino, 7_369
Jarno, 7_338
Jan, 7_074
Rauno, 7_061
Niilo, 7_015
Daniel, 6_953
Veeti, 6_934
Teuvo, 6_890
Valtteri, 6_864
Rasmus, 6_346
Olavi, 6_258
Ossi, 6_225
Tauno, 6_096
Roope, 6_072
Veijo, 6_000
Ismo, 5_995
Santeri, 5_887
Anssi, 5_787
Oskari, 5_668
Atte, 5_657
Osmo, 5_651
Anton, 5_622
Kalevi, 5_525
Aaro, 5_522
Vilho, 5_500
Asko, 5_465
Miro, 5_403
Samuli, 5_348
Oliver, 5_301
Samu, 5_213
Aapo, 5_059
Samuel, 5_004
Tuukka, 4_987
Aimo, 4_981
Lassi, 4_957
Kim, 4_937
Taisto, 4_928
Emil, 4_907
Yrjö, 4_855
Johan, 4_601
Eemeli, 4_480
Roni, 4_437
Topi, 4_388
Aarne, 4_353
Jimi, 4_339
Karl, 4_324
Julius, 4_320
Henry, 4_307
Henrik, 4_271
Konsta, 4_259
Tarmo, 4_235
Tapani, 4_214
Miikka, 4_162
Mauno, 4_160
Tatu, 4_114
Jyri, 4_083
Erik, 4_063
Akseli, 4_037
Viljo, 4_022
Sakari, 4_014
Johannes, 3_954
Aatu, 3_930
Arvo, 3_905
Tom, 3_893
Sauli, 3_856
Ahti, 3_843
Saku, 3_836
Max, 3_812
Alex, 3_810
